genre,color,font_size,left,top
kannada indie,"rgb(153, 143, 53)",100%,940px,7195px
galician indie,"rgb(156, 139, 27)",100%,562px,9169px
finnish tango,"rgb(94, 151, 6)",100%,550px,16473px
neo-manele,"rgb(155, 136, 57)",100%,975px,5684px
australian classical piano,"rgb(28, 163, 185)",100%,520px,21446px
houston indie,"rgb(161, 131, 63)",100%,411px,9898px
danish classical,"rgb(28, 163, 142)",100%,313px,21651px
metal ecuatoriano,"rgb(211, 93, 64)",100%,301px,8316px
c64,"rgb(173, 137, 158)",100%,756px,3386px
canberra indie,"rgb(80, 158, 151)",100%,1088px,13607px
lowercase,"rgb(79, 114, 179)",100%,245px,16370px
chapman stick,"rgb(103, 153, 187)",100%,595px,14171px
chechen pop,"rgb(203, 121, 10)",100%,879px,5436px
latin shoegaze,"rgb(168, 126, 155)",100%,195px,7909px
dicsoites,"rgb(135, 143, 13)",100%,541px,11076px
rez country,"rgb(152, 130, 37)",100%,706px,8512px
new hampshire indie,"rgb(163, 128, 48)",100%,509px,9413px
war metal,"rgb(222, 39, 174)",100%,38px,11635px
french rock-and-roll,"rgb(164, 119, 11)",100%,684px,14529px
swedish fiddle,"rgb(71, 175, 88)",100%,393px,19543px
classic australian country,"rgb(113, 143, 6)",100%,867px,14353px
latvian folk,"rgb(104, 150, 35)",100%,572px,14072px
northwest china indie,"rgb(141, 141, 49)",100%,584px,9316px
inuit pop,"rgb(138, 142, 25)",100%,766px,10021px
italian doom metal,"rgb(180, 112, 119)",100%,127px,9623px
nyckelharpa,"rgb(78, 170, 79)",100%,385px,17145px
belgian black metal,"rgb(200, 70, 155)",100%,57px,10451px
baton rouge indie,"rgb(156, 130, 37)",100%,444px,10695px
reading,"rgb(63, 112, 1)",100%,1377px,16370px
musica caririense,"rgb(141, 145, 4)",100%,829px,9675px
bhutanese pop,"rgb(110, 155, 54)",100%,850px,11992px
tajik pop,"rgb(178, 135, 8)",100%,873px,7270px
lagu iban,"rgb(138, 145, 49)",100%,789px,6166px
sulawesi indie,"rgb(173, 132, 66)",100%,656px,5653px
finnish folk,"rgb(105, 155, 56)",100%,525px,14875px
oriental classical,"rgb(35, 160, 145)",100%,350px,21027px
adivasi pop,"rgb(221, 114, 3)",100%,837px,2905px
idol game,"rgb(229, 105, 46)",100%,365px,2368px
greek techno,"rgb(189, 141, 212)",100%,1184px,943px
oulu indie,"rgb(180, 119, 33)",100%,373px,8684px
trikiti,"rgb(156, 143, 65)",100%,1017px,12274px
medieval black metal,"rgb(204, 65, 158)",100%,87px,10929px
japanese dub,"rgb(155, 143, 138)",100%,1004px,4228px
brazilian metalcore,"rgb(229, 80, 58)",100%,260px,4874px
khasi pop,"rgb(148, 146, 29)",100%,796px,7195px
portuguese jazz,"rgb(69, 158, 135)",100%,631px,18338px
fado instrumental,"rgb(107, 161, 142)",100%,756px,16915px
vocal ensemble,"rgb(33, 166, 24)",100%,236px,21369px
pohadky,"rgb(70, 127, 3)",100%,1182px,17534px
serbian folk,"rgb(142, 140, 20)",100%,545px,14505px
namibian pop,"rgb(178, 136, 19)",100%,1066px,5117px
taiwan electronic,"rgb(177, 136, 139)",100%,856px,3358px
seychelles pop,"rgb(171, 145, 9)",100%,1092px,6196px
thai shoegaze,"rgb(174, 125, 114)",100%,326px,8105px
brazilian black metal,"rgb(210, 67, 120)",100%,95px,10868px
bern indie,"rgb(151, 133, 65)",100%,701px,8268px
university choir,"rgb(45, 146, 47)",100%,183px,21246px
baroque ensemble,"rgb(35, 164, 83)",100%,328px,20031px
wind symphony,"rgb(54, 145, 185)",100%,444px,20788px
nz alternative rock,"rgb(188, 108, 61)",100%,346px,7959px
scottish jazz,"rgb(85, 148, 125)",100%,816px,17719px
sundanese traditional,"rgb(89, 164, 124)",100%,863px,18137px
nz punk,"rgb(222, 84, 52)",100%,292px,8403px
belgian death metal,"rgb(227, 70, 129)",100%,163px,7800px
meenawati,"rgb(238, 98, 1)",100%,930px,6747px
polish experimental electronic,"rgb(130, 136, 184)",100%,637px,9525px
hammered dulcimer,"rgb(95, 165, 160)",100%,687px,15509px
deep hardtechno,"rgb(237, 60, 175)",100%,784px,1047px
bahamian folk,"rgb(97, 136, 45)",100%,1114px,17477px
japanese classical piano,"rgb(36, 159, 200)",100%,532px,21149px
power electronics,"rgb(163, 58, 170)",100%,134px,12943px
korean jazz,"rgb(89, 157, 87)",100%,793px,15927px
finnish experimental,"rgb(111, 146, 177)",100%,587px,11003px
tavern,"rgb(129, 145, 106)",100%,555px,13344px
rwandan hip hop,"rgb(156, 147, 6)",100%,1094px,10393px
balalaika,"rgb(100, 145, 129)",100%,701px,17936px
irish fiddle,"rgb(93, 166, 100)",100%,739px,18682px
noise,"rgb(169, 53, 167)",100%,165px,12971px
goa psytrance,"rgb(226, 129, 195)",100%,996px,603px
gaita,"rgb(141, 143, 97)",100%,271px,11594px
norwegian hardcore,"rgb(224, 74, 86)",100%,152px,8292px
finnish modern jazz,"rgb(105, 148, 130)",100%,616px,15312px
peruvian metal,"rgb(211, 93, 85)",100%,228px,7946px
noel quebecois,"rgb(121, 145, 12)",100%,532px,14493px
yakut pop,"rgb(157, 144, 13)",100%,848px,6221px
contemporary classical piano,"rgb(27, 156, 182)",100%,587px,20991px
jug band,"rgb(79, 143, 44)",100%,1012px,20043px
qanun,"rgb(109, 157, 184)",100%,813px,16714px
japanese orchestra,"rgb(79, 142, 150)",100%,215px,18252px
sufi chant,"rgb(93, 152, 32)",100%,548px,17137px
rap mocambicana,"rgb(154, 146, 7)",100%,1044px,11374px
chinese post-rock,"rgb(123, 148, 146)",100%,377px,11362px
triangle indie,"rgb(180, 111, 56)",100%,354px,10647px
french post-rock,"rgb(144, 140, 178)",100%,258px,9413px
isle of man indie,"rgb(122, 146, 43)",100%,525px,13211px
canadian shoegaze,"rgb(164, 126, 132)",100%,165px,8304px
latin surf rock,"rgb(205, 115, 164)",100%,401px,7483px
derry indie,"rgb(143, 139, 26)",100%,485px,11735px
classic latvian pop,"rgb(114, 142, 37)",100%,773px,13889px
tongan pop,"rgb(114, 148, 37)",100%,894px,12250px
surabaya indie,"rgb(195, 111, 31)",100%,328px,6935px
rap malien,"rgb(177, 140, 3)",100%,1175px,7368px
sacred steel,"rgb(152, 122, 98)",100%,622px,13899px
greek punk,"rgb(215, 100, 52)",100%,344px,6329px
romanian metal,"rgb(208, 94, 82)",100%,186px,8156px
italian contemporary classical,"rgb(28, 154, 120)",100%,393px,20946px
lastelaulud,"rgb(104, 146, 3)",100%,962px,13042px
konkani pop,"rgb(154, 141, 9)",100%,948px,7108px
indie poblano,"rgb(162, 128, 58)",100%,529px,8931px
benga,"rgb(168, 132, 22)",100%,1076px,13219px
lovecraftian metal,"rgb(210, 83, 135)",100%,154px,8906px
musica morelense,"rgb(163, 132, 10)",100%,1019px,12864px
vaikiskos dainos,"rgb(133, 148, 21)",100%,1040px,11350px
magyar musicalek,"rgb(131, 139, 14)",100%,706px,11496px
finnish hardcore,"rgb(227, 71, 43)",100%,252px,10549px
slovenske chvaly,"rgb(113, 152, 12)",100%,592px,13368px
veena,"rgb(126, 140, 56)",100%,789px,18137px
malang punk,"rgb(225, 94, 23)",100%,296px,4694px
taraneem,"rgb(113, 150, 12)",100%,674px,13162px
volkstumliche musik,"rgb(183, 130, 14)",100%,800px,6178px
macedonian electronic,"rgb(190, 139, 195)",100%,1237px,931px
hong kong tv drama,"rgb(141, 143, 7)",100%,698px,8415px
quebec hardcore,"rgb(231, 80, 57)",100%,228px,7491px
lute,"rgb(29, 168, 187)",100%,904px,21007px
clawhammer banjo,"rgb(96, 160, 106)",100%,914px,16686px
missouri indie,"rgb(140, 136, 34)",100%,527px,12253px
women's choir,"rgb(73, 145, 53)",100%,273px,19297px
rap gabonais,"rgb(157, 145, 15)",100%,1085px,9999px
cumbia funk,"rgb(180, 121, 24)",100%,1036px,12725px
russian contemporary classical,"rgb(34, 154, 142)",100%,334px,21234px
demoscene,"rgb(159, 135, 182)",100%,787px,4219px
german orchestra,"rgb(47, 150, 135)",100%,296px,21198px
belgian post-rock,"rgb(133, 143, 163)",100%,328px,10232px
brno indie,"rgb(154, 130, 33)",100%,608px,11932px
hypnotic techno,"rgb(171, 148, 219)",100%,1012px,2094px
lowlands hardcore,"rgb(235, 71, 43)",100%,232px,10158px
fisarmonica,"rgb(136, 153, 120)",100%,1010px,12250px
chamame brasilero,"rgb(158, 138, 23)",100%,910px,10095px
metal gaucho,"rgb(222, 75, 73)",100%,221px,7605px
ritual ambient,"rgb(118, 116, 179)",100%,195px,13574px
deep darkpsy,"rgb(228, 111, 184)",100%,824px,1060px
radio symphony,"rgb(43, 152, 154)",100%,286px,20885px
brazilian experimental,"rgb(134, 133, 156)",100%,647px,11201px
nubian traditional,"rgb(135, 135, 56)",100%,898px,13330px
rap nortista,"rgb(142, 145, 5)",100%,1029px,12287px
deep sunset lounge,"rgb(146, 129, 172)",100%,595px,8869px
brass band brasileiro,"rgb(156, 129, 141)",100%,898px,11176px
melodic progressive metal,"rgb(201, 109, 38)",100%,266px,6549px
spanish post-rock,"rgb(161, 134, 171)",100%,267px,8869px
taiwan classical performance,"rgb(47, 157, 174)",100%,522px,20203px
skweee,"rgb(163, 138, 158)",100%,1225px,2612px
turkish experimental,"rgb(115, 131, 157)",100%,377px,13077px
turkish death metal,"rgb(229, 64, 144)",100%,161px,8032px
lagu karo,"rgb(160, 147, 13)",100%,706px,7002px
karbi pop,"rgb(154, 150, 10)",100%,759px,6785px
rap alagoano,"rgb(169, 136, 12)",100%,1074px,7429px
drone rock,"rgb(142, 116, 182)",100%,125px,12914px
tamburica,"rgb(136, 146, 12)",100%,507px,14517px
bosstown sound,"rgb(144, 132, 44)",100%,574px,13479px
scottish drill,"rgb(158, 132, 16)",100%,1081px,11511px
spanish psychedelic rock,"rgb(179, 123, 101)",100%,307px,9598px
french renaissance,"rgb(38, 164, 97)",100%,340px,21124px
italian classical piano,"rgb(33, 165, 214)",100%,579px,21273px
neo-industrial rock,"rgb(212, 102, 76)",100%,436px,2152px
kompa chretien,"rgb(169, 140, 11)",100%,744px,8036px
japanese choir,"rgb(57, 163, 25)",100%,628px,18178px
jazz dominicano,"rgb(161, 135, 71)",100%,973px,12638px
swedish ebm,"rgb(215, 117, 100)",100%,944px,961px
djecje pjesme,"rgb(144, 140, 6)",100%,800px,9563px
hungarian contemporary classical,"rgb(28, 158, 134)",100%,395px,21003px
austrian punk,"rgb(222, 94, 25)",100%,330px,5354px
musica sergipana,"rgb(147, 140, 25)",100%,730px,10009px
folk metal latinoamericano,"rgb(206, 103, 53)",100%,245px,8598px
gothic doom,"rgb(174, 127, 106)",100%,241px,8512px
electroacoustic improvisation,"rgb(86, 120, 136)",100%,391px,16112px
drama,"rgb(67, 114, 4)",100%,1333px,16444px
musique urbaine brazzaville,"rgb(166, 141, 25)",100%,1061px,10689px
finnish psychedelic rock,"rgb(169, 121, 125)",100%,239px,11300px
vintage taiwan pop,"rgb(78, 159, 11)",100%,438px,17649px
vintage hawaiian,"rgb(61, 149, 104)",100%,881px,19039px
deep filthstep,"rgb(206, 124, 107)",100%,730px,2554px
norwegian folk,"rgb(57, 170, 67)",100%,442px,19314px
libyan hip hop,"rgb(152, 141, 12)",100%,1068px,11696px
deep melodic metalcore,"rgb(224, 82, 38)",100%,269px,5971px
cifteli,"rgb(169, 128, 4)",100%,749px,13777px
modern mod,"rgb(189, 117, 34)",100%,416px,6873px
sotalaulut,"rgb(113, 133, 42)",100%,754px,15534px
deep classic garage rock,"rgb(169, 113, 33)",100%,572px,12860px
west virginia metal,"rgb(213, 95, 111)",100%,234px,9711px
ohio hardcore,"rgb(224, 69, 67)",100%,228px,11312px
luxembourgian pop,"rgb(103, 151, 108)",100%,796px,12475px
spanish blues,"rgb(163, 129, 39)",100%,735px,10843px
swedish emo,"rgb(189, 111, 61)",100%,186px,9279px
tarantella,"rgb(166, 130, 22)",100%,678px,10818px
south sudanese pop,"rgb(175, 140, 13)",100%,1083px,5808px
svensk indie,"rgb(167, 130, 41)",100%,432px,9340px
deep jazz fusion,"rgb(140, 134, 158)",100%,719px,11734px
singaporean metal,"rgb(227, 57, 101)",100%,181px,10463px
coldwave,"rgb(169, 131, 104)",100%,567px,4649px
portsmouth indie,"rgb(178, 122, 38)",100%,457px,8020px
san antonio indie,"rgb(174, 122, 61)",100%,411px,9452px
musica campista,"rgb(156, 133, 20)",100%,651px,9723px
jazz tico,"rgb(107, 153, 105)",100%,813px,15027px
irish contemporary classical,"rgb(48, 152, 123)",100%,369px,19285px
croatian metal,"rgb(219, 93, 49)",100%,288px,5289px
russian power metal,"rgb(219, 101, 23)",100%,251px,4391px
hot jazz,"rgb(91, 134, 156)",100%,1130px,20203px
canadian classical piano,"rgb(41, 166, 214)",100%,577px,21609px
covertrance,"rgb(149, 150, 121)",100%,865px,2966px
bulgarian folk,"rgb(108, 148, 51)",100%,367px,18322px
folclore portugues,"rgb(131, 142, 19)",100%,782px,12525px
marrabenta,"rgb(164, 134, 23)",100%,981px,11115px
modern chamber music,"rgb(56, 163, 152)",100%,485px,19199px
sda choir,"rgb(128, 141, 1)",100%,844px,12028px
cambridge choir,"rgb(37, 150, 75)",100%,183px,21446px
italian hardcore,"rgb(231, 64, 71)",100%,230px,10268px
russian orchestra,"rgb(48, 154, 182)",100%,260px,20848px
spanish classical piano,"rgb(34, 166, 180)",100%,564px,21581px
dambora,"rgb(180, 111, 19)",100%,1017px,14524px
leon gto indie,"rgb(175, 130, 32)",100%,605px,7209px
dutch underground hip hop,"rgb(178, 125, 10)",100%,1002px,11609px
viet edm,"rgb(182, 140, 80)",100%,833px,3005px
faroese folk,"rgb(73, 156, 48)",100%,592px,16587px
traditional southern folk,"rgb(80, 138, 49)",100%,1006px,19572px
japanese black metal,"rgb(197, 77, 132)",100%,71px,9773px
irish black metal,"rgb(200, 80, 128)",100%,69px,10499px
rock alagoano,"rgb(183, 123, 26)",100%,536px,6586px
rotterdam indie,"rgb(173, 123, 45)",100%,420px,9364px
colombian electronic,"rgb(185, 139, 207)",100%,1074px,1419px
indie boliviano,"rgb(148, 141, 60)",100%,739px,7307px
raw black metal,"rgb(189, 69, 164)",100%,74px,11028px
jazz chileno,"rgb(116, 143, 123)",100%,763px,16051px
baps,"rgb(102, 146, 5)",100%,871px,16284px
australian shoegaze,"rgb(171, 126, 148)",100%,157px,8622px
karen pop,"rgb(132, 159, 2)",100%,854px,8874px
ryukoka,"rgb(73, 160, 16)",100%,567px,19773px
vintage spanish pop,"rgb(92, 143, 28)",100%,842px,19572px
myanmar gospel,"rgb(150, 142, 7)",100%,474px,12092px
tuvan folk,"rgb(90, 143, 51)",100%,444px,17133px
yoik,"rgb(84, 153, 44)",100%,525px,15353px
indonesian neo-psychedelia,"rgb(167, 128, 70)",100%,359px,8833px
novos talentos brasileiros,"rgb(143, 149, 4)",100%,724px,10769px
indian ambient,"rgb(105, 157, 195)",100%,340px,12136px
christmas product,"rgb(70, 163, 134)",100%,706px,14640px
wuhan indie,"rgb(156, 136, 59)",100%,480px,8672px
christian death metal,"rgb(224, 79, 110)",100%,197px,6672px
canzone siciliane,"rgb(151, 135, 25)",100%,896px,9077px
mainland se asia metal,"rgb(208, 96, 62)",100%,264px,7319px
musica menorquina,"rgb(124, 143, 27)",100%,742px,14146px
occult black metal,"rgb(208, 53, 144)",100%,31px,10904px
baithak gana,"rgb(169, 130, 23)",100%,835px,9576px
cuban electronic,"rgb(203, 123, 144)",100%,952px,1880px
irish trap,"rgb(143, 150, 18)",100%,975px,6523px
norwegian punk,"rgb(177, 107, 61)",100%,375px,10035px
ancient mediterranean,"rgb(56, 169, 151)",100%,829px,18826px
new brunswick indie,"rgb(141, 139, 29)",100%,572px,11226px
rap sergipano,"rgb(149, 144, 18)",100%,1017px,9847px
coptic hymn,"rgb(70, 157, 7)",100%,507px,17620px
diy pop punk,"rgb(222, 90, 26)",100%,330px,6316px
rondalla,"rgb(88, 152, 5)",100%,796px,16555px
chamber choir,"rgb(33, 156, 68)",100%,113px,21810px
rominimal,"rgb(166, 153, 217)",100%,1500px,72px
post-punk brasileiro,"rgb(187, 120, 91)",100%,444px,5088px
marcha funebre,"rgb(137, 105, 144)",100%,134px,16817px
trekkspill,"rgb(110, 159, 91)",100%,674px,14122px
classic ukrainian pop,"rgb(146, 134, 8)",100%,587px,13356px
indie paraense,"rgb(135, 146, 40)",100%,749px,8327px
indie sudcaliforniano,"rgb(157, 134, 27)",100%,773px,8751px
vintage swing,"rgb(72, 136, 71)",100%,1188px,19658px
decije pesme,"rgb(153, 136, 18)",100%,1050px,10073px
ugandan hip hop,"rgb(164, 142, 8)",100%,1087px,10627px
musica folk asturiana,"rgb(143, 145, 50)",100%,352px,12240px
indonesian shoegaze,"rgb(184, 125, 122)",100%,236px,5884px
bulgarian indie,"rgb(150, 139, 74)",100%,613px,8049px
aberdeen indie,"rgb(161, 128, 38)",100%,391px,9871px
metal paranaense,"rgb(217, 80, 93)",100%,212px,8695px
syro-aramaic chant,"rgb(53, 172, 25)",100%,356px,19658px
free improvisation,"rgb(91, 128, 115)",100%,608px,18137px
wisconsin metal,"rgb(227, 76, 86)",100%,225px,7160px
rock catracho,"rgb(183, 123, 20)",100%,511px,8549px
mathgrind,"rgb(220, 42, 135)",100%,147px,11496px
combos nacionales,"rgb(171, 145, 15)",100%,1114px,10812px
belarusian metal,"rgb(212, 89, 125)",100%,161px,6020px
eastern bloc groove,"rgb(135, 132, 62)",100%,634px,13924px
tibetan traditional,"rgb(72, 161, 50)",100%,502px,18022px
neo honky tonk,"rgb(146, 138, 8)",100%,684px,11338px
arkansas metal,"rgb(203, 91, 87)",100%,197px,9574px
chinese metal,"rgb(200, 106, 93)",100%,294px,4862px
lesotho traditional,"rgb(172, 134, 3)",100%,811px,7120px
swazi pop,"rgb(137, 147, 29)",100%,948px,7924px
sarod,"rgb(114, 141, 153)",100%,837px,19096px
ohangla,"rgb(183, 132, 32)",100%,1046px,12164px
deep vocal house,"rgb(203, 122, 47)",100%,946px,1519px
paraguayan indie,"rgb(161, 134, 33)",100%,656px,7431px
pontian folk,"rgb(151, 137, 10)",100%,605px,16256px
deep full on,"rgb(234, 114, 184)",100%,912px,717px
colombian hardcore,"rgb(227, 82, 40)",100%,292px,7823px
oromo pop,"rgb(175, 134, 4)",100%,960px,7305px
musique concrete,"rgb(67, 119, 126)",100%,416px,18924px
new england hardcore,"rgb(229, 69, 66)",100%,219px,10573px
bernu dziesmas,"rgb(114, 154, 36)",100%,906px,11078px
irish flute,"rgb(80, 171, 160)",100%,582px,18510px
chinese post-punk,"rgb(187, 118, 114)",100%,391px,7258px
jazz colombiano,"rgb(116, 150, 77)",100%,922px,14317px
macedonian indie,"rgb(168, 128, 68)",100%,597px,7700px
south african punk,"rgb(186, 111, 42)",100%,732px,5962px
dragspel,"rgb(107, 154, 107)",100%,813px,14940px
abstractro,"rgb(111, 140, 184)",100%,199px,14177px
grunge revival,"rgb(197, 107, 45)",100%,258px,6376px
andalusian classical,"rgb(90, 153, 23)",100%,557px,17391px
chinese experimental,"rgb(132, 136, 128)",100%,597px,10941px
dansk comedy,"rgb(152, 103, 2)",100%,1116px,16157px
chinese classical,"rgb(38, 152, 143)",100%,332px,20836px
indian violin,"rgb(131, 137, 118)",100%,784px,18309px
musica prehispanica,"rgb(104, 141, 122)",100%,800px,12499px
industrial hardcore,"rgb(233, 75, 112)",100%,555px,2468px
mizo gospel,"rgb(124, 153, 1)",100%,420px,12006px
icelandic traditional,"rgb(63, 159, 53)",100%,548px,17821px
candombe,"rgb(158, 129, 39)",100%,969px,11338px
japanese hardcore,"rgb(230, 61, 92)",100%,195px,10487px
instrumental death metal,"rgb(209, 89, 203)",100%,208px,6216px
pops orchestra,"rgb(67, 150, 155)",100%,298px,18281px
hungarian classical piano,"rgb(28, 166, 217)",100%,534px,22023px
armenian indie,"rgb(137, 141, 66)",100%,532px,11436px
austrian orchestra,"rgb(53, 148, 128)",100%,361px,21015px
vintage french psychedelic,"rgb(113, 142, 94)",100%,584px,14470px
australian thrash metal,"rgb(230, 74, 75)",100%,260px,9154px
german shoegaze,"rgb(165, 126, 114)",100%,227px,7897px
oeteldonk,"rgb(151, 106, 14)",100%,869px,14500px
mountain dulcimer,"rgb(66, 168, 59)",100%,848px,18223px
danish folk,"rgb(92, 165, 66)",100%,597px,16702px
irish underground rap,"rgb(161, 132, 41)",100%,962px,11746px
utah metal,"rgb(213, 89, 104)",100%,161px,9413px
chinese new year,"rgb(158, 141, 10)",100%,701px,8763px
swedish grindcore,"rgb(235, 35, 125)",100%,80px,10439px
garifuna folk,"rgb(172, 125, 20)",100%,924px,10381px
avant-rock,"rgb(155, 112, 118)",100%,476px,12314px
rap ecuatoguineano,"rgb(164, 143, 29)",100%,1163px,6780px
guitarra portuguesa,"rgb(103, 163, 139)",100%,835px,17760px
tuna,"rgb(122, 140, 14)",100%,525px,14357px
modern electroacoustic,"rgb(90, 136, 168)",100%,249px,15927px
staff band,"rgb(52, 148, 146)",100%,230px,21234px
finnish electronic,"rgb(166, 139, 178)",100%,960px,3464px
japanese melodic hardcore,"rgb(229, 87, 32)",100%,241px,5305px
italo beats,"rgb(223, 119, 76)",100%,975px,933px
nagaland indie,"rgb(141, 146, 7)",100%,768px,8598px
st petersburg fl indie,"rgb(159, 131, 41)",100%,442px,10549px
pilates,"rgb(70, 145, 166)",100%,377px,15853px
tuna estudiantil,"rgb(122, 141, 11)",100%,602px,15883px
hard dance,"rgb(245, 88, 178)",100%,628px,1033px
chamber ensemble,"rgb(37, 166, 151)",100%,352px,20909px
luxembourgian hip hop,"rgb(148, 144, 10)",100%,1107px,7145px
raga rock,"rgb(129, 136, 116)",100%,444px,12872px
indie trujillano,"rgb(170, 127, 62)",100%,476px,8427px
pinoy shoegaze,"rgb(143, 138, 125)",100%,319px,9476px
muzica ardeleneasca,"rgb(111, 157, 10)",100%,592px,16846px
bengali folk,"rgb(97, 151, 27)",100%,732px,18797px
hangoskonyvek,"rgb(69, 92, 4)",100%,1315px,17276px
belgian stoner rock,"rgb(198, 102, 89)",100%,195px,8610px
danish hardcore,"rgb(234, 66, 111)",100%,145px,8671px
finnish rockabilly,"rgb(195, 115, 22)",100%,690px,10207px
iraqi hip hop,"rgb(155, 141, 5)",100%,1046px,11189px
hardingfele,"rgb(65, 172, 106)",100%,317px,19756px
indie hidrocalido,"rgb(156, 132, 58)",100%,584px,8317px
grim death metal,"rgb(216, 71, 146)",100%,165px,11337px
prague indie,"rgb(148, 134, 49)",100%,529px,9055px
min'yo,"rgb(91, 158, 24)",100%,634px,16874px
african metal,"rgb(211, 94, 89)",100%,236px,6736px
minimal synth,"rgb(158, 138, 165)",100%,737px,4161px
brazilian stoner rock,"rgb(203, 102, 83)",100%,288px,8744px
russian black metal,"rgb(196, 83, 150)",100%,48px,8365px
musique mauritanienne,"rgb(159, 141, 7)",100%,981px,11931px
italian post-rock,"rgb(112, 147, 197)",100%,194px,11411px
hypertrance,"rgb(158, 139, 136)",100%,461px,9043px
belgian punk,"rgb(215, 95, 30)",100%,266px,5366px
grisly death metal,"rgb(233, 65, 138)",100%,150px,8144px
historically informed performance,"rgb(38, 161, 87)",100%,424px,19974px
indie psychedelic rock,"rgb(164, 124, 95)",100%,266px,10893px
saxophone trio,"rgb(118, 130, 109)",100%,678px,14976px
christian thrash metal,"rgb(218, 87, 64)",100%,317px,8500px
japanese buddhist chant,"rgb(68, 159, 44)",100%,369px,17403px
zeuhl,"rgb(133, 127, 112)",100%,442px,13553px
neo-proto,"rgb(191, 107, 33)",100%,432px,8660px
guitar case,"rgb(147, 144, 32)",100%,643px,7097px
colombian death metal,"rgb(236, 48, 139)",100%,163px,10856px
koto,"rgb(55, 168, 177)",100%,924px,21638px
swiss punk,"rgb(219, 96, 27)",100%,391px,6119px
polish post-rock,"rgb(149, 140, 180)",100%,269px,8549px
finnish choir,"rgb(37, 154, 62)",100%,159px,21782px
galway indie,"rgb(126, 142, 37)",100%,518px,12872px
greek jazz,"rgb(91, 155, 157)",100%,692px,16013px
blues band,"rgb(137, 132, 46)",100%,871px,11709px
latin american heavy psych,"rgb(177, 116, 140)",100%,206px,11350px
folclore castilla y leon,"rgb(113, 148, 36)",100%,807px,15248px
israeli traditional,"rgb(86, 152, 40)",100%,752px,17707px
guatemalan metal,"rgb(204, 92, 76)",100%,232px,9458px
russian choir,"rgb(38, 152, 87)",100%,94px,21925px
mento,"rgb(140, 123, 18)",100%,1163px,15124px
experimental big band,"rgb(110, 126, 99)",100%,543px,16026px
classic konkani pop,"rgb(129, 128, 21)",100%,777px,15285px
korean musicals,"rgb(116, 151, 19)",100%,403px,15124px
lombok indie,"rgb(155, 140, 19)",100%,557px,7197px
classical accordion,"rgb(70, 157, 98)",100%,545px,18768px
croatian folk,"rgb(111, 149, 20)",100%,518px,15698px
kinderliedjies,"rgb(110, 143, 12)",100%,993px,12311px
botswana pop,"rgb(147, 145, 14)",100%,1012px,9749px
native american black metal,"rgb(211, 67, 126)",100%,116px,10475px
rock progresivo mexicano,"rgb(141, 132, 118)",100%,500px,13138px
israeli classical,"rgb(33, 163, 117)",100%,377px,21076px
spanish baroque,"rgb(37, 166, 121)",100%,595px,20433px
lagu maluku,"rgb(121, 150, 16)",100%,643px,11015px
dutch stoner rock,"rgb(187, 112, 101)",100%,219px,10707px
hula,"rgb(71, 149, 62)",100%,833px,19055px
arab experimental,"rgb(113, 144, 152)",100%,465px,13777px
western ny metal,"rgb(228, 68, 92)",100%,181px,8488px
rajasthani folk,"rgb(162, 118, 29)",100%,737px,15985px
dutch experimental,"rgb(87, 127, 174)",100%,344px,15382px
classical percussion,"rgb(52, 159, 170)",100%,674px,18826px
dutch folk,"rgb(89, 156, 36)",100%,752px,15755px
dutch punk rock,"rgb(222, 94, 17)",100%,292px,5823px
muzica bisericeasca,"rgb(51, 168, 28)",100%,305px,21410px
streichquartett,"rgb(27, 169, 116)",100%,328px,21545px
javanese gamelan,"rgb(66, 162, 102)",100%,509px,19527px
kashmiri hip hop,"rgb(147, 145, 6)",100%,1088px,11869px
indie arequipeno,"rgb(183, 122, 47)",100%,525px,6986px
folk cantabria,"rgb(120, 143, 22)",100%,628px,15480px
umea indie,"rgb(168, 125, 48)",100%,363px,9006px
portuguese death metal,"rgb(225, 72, 140)",100%,165px,6948px
classic assamese pop,"rgb(109, 143, 23)",100%,739px,16300px
tabla,"rgb(145, 123, 134)",100%,996px,14548px
sinhala edm,"rgb(197, 141, 102)",100%,898px,2323px
medieval ensemble,"rgb(50, 167, 67)",100%,305px,19400px
rongmei pop,"rgb(120, 160, 12)",100%,564px,9292px
horror punk brasileiro,"rgb(232, 78, 33)",100%,292px,7172px
norwegian blues,"rgb(155, 130, 29)",100%,732px,12092px
neo-trad prog,"rgb(145, 139, 57)",100%,305px,9611px
glitter trance,"rgb(189, 137, 189)",100%,926px,1291px
lithuanian folk,"rgb(105, 152, 88)",100%,724px,11585px
russian death metal,"rgb(229, 81, 129)",100%,227px,4989px
korean classical performance,"rgb(43, 164, 163)",100%,352px,20934px
maghreb,"rgb(161, 129, 26)",100%,722px,12451px
indian instrumental rock,"rgb(148, 140, 151)",100%,324px,10365px
gaddiyali pop,"rgb(200, 121, 6)",100%,719px,6012px
guatemalan indie,"rgb(151, 141, 44)",100%,600px,8955px
eletronica underground brasileira,"rgb(167, 140, 194)",100%,1136px,2242px
polynesian traditional,"rgb(107, 128, 63)",100%,787px,18022px
oratory,"rgb(62, 118, 3)",100%,1323px,16932px
scottish smallpipe,"rgb(113, 139, 105)",100%,369px,14357px
kinderchor,"rgb(72, 159, 32)",100%,858px,15739px
brazilian contemporary classical,"rgb(52, 162, 179)",100%,605px,20462px
