genre,font_size,color,colors_rgb,top,left
irish trap,100%,#8f9612,"rgb(143, 150, 18)",6523px,975px
norwegian punk,100%,#b16b3d,"rgb(177, 107, 61)",10035px,375px
ancient mediterranean,100%,#38a997,"rgb(56, 169, 151)",18826px,829px
new brunswick indie,100%,#8d8b1d,"rgb(141, 139, 29)",11226px,572px
rap sergipano,100%,#959012,"rgb(149, 144, 18)",9847px,1017px
coptic hymn,100%,#469d07,"rgb(70, 157, 7)",17620px,507px
diy pop punk,100%,#de5a1a,"rgb(222, 90, 26)",6316px,330px
rondalla,100%,#589805,"rgb(88, 152, 5)",16555px,796px
chamber choir,100%,#219c44,"rgb(33, 156, 68)",21810px,113px
rominimal,100%,#a699d9,"rgb(166, 153, 217)",72px,1500px
post-punk brasileiro,100%,#bb785b,"rgb(187, 120, 91)",5088px,444px
marcha funebre,100%,#896990,"rgb(137, 105, 144)",16817px,134px
trekkspill,100%,#6e9f5b,"rgb(110, 159, 91)",14122px,674px
classic ukrainian pop,100%,#928608,"rgb(146, 134, 8)",13356px,587px
indie paraense,100%,#879228,"rgb(135, 146, 40)",8327px,749px
indie sudcaliforniano,100%,#9d861b,"rgb(157, 134, 27)",8751px,773px
vintage swing,100%,#488847,"rgb(72, 136, 71)",19658px,1188px
decije pesme,100%,#998812,"rgb(153, 136, 18)",10073px,1050px
ugandan hip hop,100%,#a48e08,"rgb(164, 142, 8)",10627px,1087px
musica folk asturiana,100%,#8f9132,"rgb(143, 145, 50)",12240px,352px
indonesian shoegaze,100%,#b87d7a,"rgb(184, 125, 122)",5884px,236px
bulgarian indie,100%,#968b4a,"rgb(150, 139, 74)",8049px,613px
aberdeen indie,100%,#a18026,"rgb(161, 128, 38)",9871px,391px
metal paranaense,100%,#d9505d,"rgb(217, 80, 93)",8695px,212px
syro-aramaic chant,100%,#35ac19,"rgb(53, 172, 25)",19658px,356px
free improvisation,100%,#5b8073,"rgb(91, 128, 115)",18137px,608px
wisconsin metal,100%,#e34c56,"rgb(227, 76, 86)",7160px,225px
rock catracho,100%,#b77b14,"rgb(183, 123, 20)",8549px,511px
mathgrind,100%,#dc2a87,"rgb(220, 42, 135)",11496px,147px
combos nacionales,100%,#ab910f,"rgb(171, 145, 15)",10812px,1114px
belarusian metal,100%,#d4597d,"rgb(212, 89, 125)",6020px,161px
eastern bloc groove,100%,#87843e,"rgb(135, 132, 62)",13924px,634px
tibetan traditional,100%,#48a132,"rgb(72, 161, 50)",18022px,502px
neo honky tonk,100%,#928a08,"rgb(146, 138, 8)",11338px,684px
arkansas metal,100%,#cb5b57,"rgb(203, 91, 87)",9574px,197px
chinese metal,100%,#c86a5d,"rgb(200, 106, 93)",4862px,294px
lesotho traditional,100%,#ac8603,"rgb(172, 134, 3)",7120px,811px
swazi pop,100%,#89931d,"rgb(137, 147, 29)",7924px,948px
sarod,100%,#728d99,"rgb(114, 141, 153)",19096px,837px
ohangla,100%,#b78420,"rgb(183, 132, 32)",12164px,1046px
deep vocal house,100%,#cb7a2f,"rgb(203, 122, 47)",1519px,946px
paraguayan indie,100%,#a18621,"rgb(161, 134, 33)",7431px,656px
pontian folk,100%,#97890a,"rgb(151, 137, 10)",16256px,605px
deep full on,100%,#ea72b8,"rgb(234, 114, 184)",717px,912px
colombian hardcore,100%,#e35228,"rgb(227, 82, 40)",7823px,292px
oromo pop,100%,#af8604,"rgb(175, 134, 4)",7305px,960px
musique concrete,100%,#43777e,"rgb(67, 119, 126)",18924px,416px
new england hardcore,100%,#e54542,"rgb(229, 69, 66)",10573px,219px
bernu dziesmas,100%,#729a24,"rgb(114, 154, 36)",11078px,906px
irish flute,100%,#50aba0,"rgb(80, 171, 160)",18510px,582px
chinese post-punk,100%,#bb7672,"rgb(187, 118, 114)",7258px,391px
jazz colombiano,100%,#74964d,"rgb(116, 150, 77)",14317px,922px
macedonian indie,100%,#a88044,"rgb(168, 128, 68)",7700px,597px
south african punk,100%,#ba6f2a,"rgb(186, 111, 42)",5962px,732px
dragspel,100%,#6b9a6b,"rgb(107, 154, 107)",14940px,813px
abstractro,100%,#6f8cb8,"rgb(111, 140, 184)",14177px,199px
grunge revival,100%,#c56b2d,"rgb(197, 107, 45)",6376px,258px
andalusian classical,100%,#5a9917,"rgb(90, 153, 23)",17391px,557px
chinese experimental,100%,#848880,"rgb(132, 136, 128)",10941px,597px
dansk comedy,100%,#986702,"rgb(152, 103, 2)",16157px,1116px
chinese classical,100%,#26988f,"rgb(38, 152, 143)",20836px,332px
indian violin,100%,#838976,"rgb(131, 137, 118)",18309px,784px
musica prehispanica,100%,#688d7a,"rgb(104, 141, 122)",12499px,800px
industrial hardcore,100%,#e94b70,"rgb(233, 75, 112)",2468px,555px
mizo gospel,100%,#7c9901,"rgb(124, 153, 1)",12006px,420px
icelandic traditional,100%,#3f9f35,"rgb(63, 159, 53)",17821px,548px
candombe,100%,#9e8127,"rgb(158, 129, 39)",11338px,969px
japanese hardcore,100%,#e63d5c,"rgb(230, 61, 92)",10487px,195px
instrumental death metal,100%,#d159cb,"rgb(209, 89, 203)",6216px,208px
pops orchestra,100%,#43969b,"rgb(67, 150, 155)",18281px,298px
hungarian classical piano,100%,#1ca6d9,"rgb(28, 166, 217)",22023px,534px
armenian indie,100%,#898d42,"rgb(137, 141, 66)",11436px,532px
austrian orchestra,100%,#359480,"rgb(53, 148, 128)",21015px,361px
vintage french psychedelic,100%,#718e5e,"rgb(113, 142, 94)",14470px,584px
australian thrash metal,100%,#e64a4b,"rgb(230, 74, 75)",9154px,260px
german shoegaze,100%,#a57e72,"rgb(165, 126, 114)",7897px,227px
oeteldonk,100%,#976a0e,"rgb(151, 106, 14)",14500px,869px
mountain dulcimer,100%,#42a83b,"rgb(66, 168, 59)",18223px,848px
danish folk,100%,#5ca542,"rgb(92, 165, 66)",16702px,597px
irish underground rap,100%,#a18429,"rgb(161, 132, 41)",11746px,962px
utah metal,100%,#d55968,"rgb(213, 89, 104)",9413px,161px
chinese new year,100%,#9e8d0a,"rgb(158, 141, 10)",8763px,701px
swedish grindcore,100%,#eb237d,"rgb(235, 35, 125)",10439px,80px
garifuna folk,100%,#ac7d14,"rgb(172, 125, 20)",10381px,924px
avant-rock,100%,#9b7076,"rgb(155, 112, 118)",12314px,476px
rap ecuatoguineano,100%,#a48f1d,"rgb(164, 143, 29)",6780px,1163px
guitarra portuguesa,100%,#67a38b,"rgb(103, 163, 139)",17760px,835px
tuna,100%,#7a8c0e,"rgb(122, 140, 14)",14357px,525px
modern electroacoustic,100%,#5a88a8,"rgb(90, 136, 168)",15927px,249px
staff band,100%,#349492,"rgb(52, 148, 146)",21234px,230px
finnish electronic,100%,#a68bb2,"rgb(166, 139, 178)",3464px,960px
japanese melodic hardcore,100%,#e55720,"rgb(229, 87, 32)",5305px,241px
italo beats,100%,#df774c,"rgb(223, 119, 76)",933px,975px
nagaland indie,100%,#8d9207,"rgb(141, 146, 7)",8598px,768px
st petersburg fl indie,100%,#9f8329,"rgb(159, 131, 41)",10549px,442px
pilates,100%,#4691a6,"rgb(70, 145, 166)",15853px,377px
tuna estudiantil,100%,#7a8d0b,"rgb(122, 141, 11)",15883px,602px
hard dance,100%,#f558b2,"rgb(245, 88, 178)",1033px,628px
chamber ensemble,100%,#25a697,"rgb(37, 166, 151)",20909px,352px
luxembourgian hip hop,100%,#94900a,"rgb(148, 144, 10)",7145px,1107px
raga rock,100%,#818874,"rgb(129, 136, 116)",12872px,444px
indie trujillano,100%,#aa7f3e,"rgb(170, 127, 62)",8427px,476px
pinoy shoegaze,100%,#8f8a7d,"rgb(143, 138, 125)",9476px,319px
muzica ardeleneasca,100%,#6f9d0a,"rgb(111, 157, 10)",16846px,592px
bengali folk,100%,#61971b,"rgb(97, 151, 27)",18797px,732px
hangoskonyvek,100%,#455c04,"rgb(69, 92, 4)",17276px,1315px
belgian stoner rock,100%,#c66659,"rgb(198, 102, 89)",8610px,195px
danish hardcore,100%,#ea426f,"rgb(234, 66, 111)",8671px,145px
finnish rockabilly,100%,#c37316,"rgb(195, 115, 22)",10207px,690px
iraqi hip hop,100%,#9b8d05,"rgb(155, 141, 5)",11189px,1046px
hardingfele,100%,#41ac6a,"rgb(65, 172, 106)",19756px,317px
indie hidrocalido,100%,#9c843a,"rgb(156, 132, 58)",8317px,584px
grim death metal,100%,#d84792,"rgb(216, 71, 146)",11337px,165px
prague indie,100%,#948631,"rgb(148, 134, 49)",9055px,529px
min'yo,100%,#5b9e18,"rgb(91, 158, 24)",16874px,634px
african metal,100%,#d35e59,"rgb(211, 94, 89)",6736px,236px
minimal synth,100%,#9e8aa5,"rgb(158, 138, 165)",4161px,737px
brazilian stoner rock,100%,#cb6653,"rgb(203, 102, 83)",8744px,288px
russian black metal,100%,#c45396,"rgb(196, 83, 150)",8365px,48px
musique mauritanienne,100%,#9f8d07,"rgb(159, 141, 7)",11931px,981px
italian post-rock,100%,#7093c5,"rgb(112, 147, 197)",11411px,194px
hypertrance,100%,#9e8b88,"rgb(158, 139, 136)",9043px,461px
belgian punk,100%,#d75f1e,"rgb(215, 95, 30)",5366px,266px
grisly death metal,100%,#e9418a,"rgb(233, 65, 138)",8144px,150px
historically informed performance,100%,#26a157,"rgb(38, 161, 87)",19974px,424px
indie psychedelic rock,100%,#a47c5f,"rgb(164, 124, 95)",10893px,266px
saxophone trio,100%,#76826d,"rgb(118, 130, 109)",14976px,678px
christian thrash metal,100%,#da5740,"rgb(218, 87, 64)",8500px,317px
japanese buddhist chant,100%,#449f2c,"rgb(68, 159, 44)",17403px,369px
zeuhl,100%,#857f70,"rgb(133, 127, 112)",13553px,442px
neo-proto,100%,#bf6b21,"rgb(191, 107, 33)",8660px,432px
guitar case,100%,#939020,"rgb(147, 144, 32)",7097px,643px
colombian death metal,100%,#ec308b,"rgb(236, 48, 139)",10856px,163px
koto,100%,#37a8b1,"rgb(55, 168, 177)",21638px,924px
swiss punk,100%,#db601b,"rgb(219, 96, 27)",6119px,391px
polish post-rock,100%,#958cb4,"rgb(149, 140, 180)",8549px,269px
finnish choir,100%,#259a3e,"rgb(37, 154, 62)",21782px,159px
galway indie,100%,#7e8e25,"rgb(126, 142, 37)",12872px,518px
greek jazz,100%,#5b9b9d,"rgb(91, 155, 157)",16013px,692px
blues band,100%,#89842e,"rgb(137, 132, 46)",11709px,871px
latin american heavy psych,100%,#b1748c,"rgb(177, 116, 140)",11350px,206px
folclore castilla y leon,100%,#719424,"rgb(113, 148, 36)",15248px,807px
israeli traditional,100%,#569828,"rgb(86, 152, 40)",17707px,752px
guatemalan metal,100%,#cc5c4c,"rgb(204, 92, 76)",9458px,232px
russian choir,100%,#269857,"rgb(38, 152, 87)",21925px,94px
mento,100%,#8c7b12,"rgb(140, 123, 18)",15124px,1163px
experimental big band,100%,#6e7e63,"rgb(110, 126, 99)",16026px,543px
classic konkani pop,100%,#818015,"rgb(129, 128, 21)",15285px,777px
korean musicals,100%,#749713,"rgb(116, 151, 19)",15124px,403px
lombok indie,100%,#9b8c13,"rgb(155, 140, 19)",7197px,557px
classical accordion,100%,#469d62,"rgb(70, 157, 98)",18768px,545px
croatian folk,100%,#6f9514,"rgb(111, 149, 20)",15698px,518px
kinderliedjies,100%,#6e8f0c,"rgb(110, 143, 12)",12311px,993px
botswana pop,100%,#93910e,"rgb(147, 145, 14)",9749px,1012px
native american black metal,100%,#d3437e,"rgb(211, 67, 126)",10475px,116px
rock progresivo mexicano,100%,#8d8476,"rgb(141, 132, 118)",13138px,500px
israeli classical,100%,#21a375,"rgb(33, 163, 117)",21076px,377px
spanish baroque,100%,#25a679,"rgb(37, 166, 121)",20433px,595px
lagu maluku,100%,#799610,"rgb(121, 150, 16)",11015px,643px
dutch stoner rock,100%,#bb7065,"rgb(187, 112, 101)",10707px,219px
hula,100%,#47953e,"rgb(71, 149, 62)",19055px,833px
arab experimental,100%,#719098,"rgb(113, 144, 152)",13777px,465px
western ny metal,100%,#e4445c,"rgb(228, 68, 92)",8488px,181px
rajasthani folk,100%,#a2761d,"rgb(162, 118, 29)",15985px,737px
dutch experimental,100%,#577fae,"rgb(87, 127, 174)",15382px,344px
classical percussion,100%,#349faa,"rgb(52, 159, 170)",18826px,674px
dutch folk,100%,#599c24,"rgb(89, 156, 36)",15755px,752px
dutch punk rock,100%,#de5e11,"rgb(222, 94, 17)",5823px,292px
muzica bisericeasca,100%,#33a81c,"rgb(51, 168, 28)",21410px,305px
streichquartett,100%,#1ba974,"rgb(27, 169, 116)",21545px,328px
javanese gamelan,100%,#42a266,"rgb(66, 162, 102)",19527px,509px
kashmiri hip hop,100%,#939106,"rgb(147, 145, 6)",11869px,1088px
indie arequipeno,100%,#b77a2f,"rgb(183, 122, 47)",6986px,525px
folk cantabria,100%,#788f16,"rgb(120, 143, 22)",15480px,628px
umea indie,100%,#a87d30,"rgb(168, 125, 48)",9006px,363px
portuguese death metal,100%,#e1488c,"rgb(225, 72, 140)",6948px,165px
classic assamese pop,100%,#6d8f17,"rgb(109, 143, 23)",16300px,739px
tabla,100%,#917b86,"rgb(145, 123, 134)",14548px,996px
sinhala edm,100%,#c58d66,"rgb(197, 141, 102)",2323px,898px
medieval ensemble,100%,#32a743,"rgb(50, 167, 67)",19400px,305px
rongmei pop,100%,#78a00c,"rgb(120, 160, 12)",9292px,564px
horror punk brasileiro,100%,#e84e21,"rgb(232, 78, 33)",7172px,292px
norwegian blues,100%,#9b821d,"rgb(155, 130, 29)",12092px,732px
neo-trad prog,100%,#918b39,"rgb(145, 139, 57)",9611px,305px
glitter trance,100%,#bd89bd,"rgb(189, 137, 189)",1291px,926px
lithuanian folk,100%,#699858,"rgb(105, 152, 88)",11585px,724px
russian death metal,100%,#e55181,"rgb(229, 81, 129)",4989px,227px
korean classical performance,100%,#2ba4a3,"rgb(43, 164, 163)",20934px,352px
maghreb,100%,#a1811a,"rgb(161, 129, 26)",12451px,722px
indian instrumental rock,100%,#948c97,"rgb(148, 140, 151)",10365px,324px
gaddiyali pop,100%,#c87906,"rgb(200, 121, 6)",6012px,719px
guatemalan indie,100%,#978d2c,"rgb(151, 141, 44)",8955px,600px
eletronica underground brasileira,100%,#a78cc2,"rgb(167, 140, 194)",2242px,1136px
polynesian traditional,100%,#6b803f,"rgb(107, 128, 63)",18022px,787px
oratory,100%,#3e7603,"rgb(62, 118, 3)",16932px,1323px
scottish smallpipe,100%,#718b69,"rgb(113, 139, 105)",14357px,369px
kinderchor,100%,#489f20,"rgb(72, 159, 32)",15739px,858px
brazilian contemporary classical,100%,#34a2b3,"rgb(52, 162, 179)",20462px,605px
rock potiguar,100%,#b67733,"rgb(182, 119, 51)",8354px,507px
rock nica,100%,#c27d5a,"rgb(194, 125, 90)",3501px,852px
metal noir quebecois,100%,#d54195,"rgb(213, 65, 149)",8931px,80px
indie hidalguense,100%,#869318,"rgb(134, 147, 24)",8931px,681px
singaporean punk,100%,#da5530,"rgb(218, 85, 48)",7196px,290px
sindhi,100%,#c36f06,"rgb(195, 111, 6)",11016px,865px
molam,100%,#958b32,"rgb(149, 139, 50)",11746px,858px
russian jazz,100%,#5a8d54,"rgb(90, 141, 84)",17817px,763px
estonian metal,100%,#da5c62,"rgb(218, 92, 98)",5166px,282px
senegalese traditional,100%,#8b7f4c,"rgb(139, 127, 76)",15632px,1035px
circassian folk,100%,#ad872d,"rgb(173, 135, 45)",6921px,695px
new jack smooth,100%,#998c0f,"rgb(153, 140, 15)",5134px,922px
re:techno,100%,#e078d5,"rgb(224, 120, 213)",43px,1152px
anime game,100%,#b27d68,"rgb(178, 125, 104)",5935px,389px
rock sergipano,100%,#b67426,"rgb(182, 116, 38)",9031px,489px
hungarian black metal,100%,#cf4c98,"rgb(207, 76, 152)",7739px,94px
rap paraguayo,100%,#a09313,"rgb(160, 147, 19)",6081px,1129px
dark black metal,100%,#db2c8e,"rgb(219, 44, 142)",10561px,29px
musique peule,100%,#8e8824,"rgb(142, 136, 36)",13717px,946px
chilean techno,100%,#ca82cc,"rgb(202, 130, 204)",1370px,1021px
brazilian rockabilly,100%,#c16e20,"rgb(193, 110, 32)",9848px,541px
colorado hardcore,100%,#e74936,"rgb(231, 73, 54)",8894px,234px
marimba,100%,#27b1c0,"rgb(39, 177, 192)",20560px,807px
classical flute,100%,#27a8a7,"rgb(39, 168, 167)",20532px,416px
balafon,100%,#80966f,"rgb(128, 150, 111)",15554px,1087px
northamptonshire indie,100%,#a98347,"rgb(169, 131, 71)",5959px,436px
indonesian experimental,100%,#8b80a5,"rgb(139, 128, 165)",13627px,389px
gotico brasileiro,100%,#c17755,"rgb(193, 119, 85)",4231px,418px
bolivian metal,100%,#cf6539,"rgb(207, 101, 57)",7569px,305px
romanian black metal,100%,#ce5480,"rgb(206, 84, 128)",8830px,95px
deep free jazz,100%,#4a8d68,"rgb(74, 141, 104)",18395px,643px
irish gaelic folk,100%,#2faa13,"rgb(47, 170, 19)",19814px,602px
classic female blues,100%,#3e931f,"rgb(62, 147, 31)",20691px,1031px
caucasian classical piano,100%,#21a4d2,"rgb(33, 164, 210)",21966px,509px
nhac thieu nhi,100%,#9c880d,"rgb(156, 136, 13)",6834px,954px
trio cubano,100%,#768b22,"rgb(118, 139, 34)",17329px,1141px
metal tico,100%,#d45356,"rgb(212, 83, 86)",8634px,254px
dub product,100%,#8794a4,"rgb(135, 148, 164)",4965px,1318px
american classical piano,100%,#1ca5d8,"rgb(28, 165, 216)",21027px,522px
croatian electronic,100%,#d07dc7,"rgb(208, 125, 199)",369px,1181px
rap nica,100%,#8a9632,"rgb(138, 150, 50)",5621px,1094px
yuri,100%,#9e876e,"rgb(158, 135, 110)",7282px,625px
taiko,100%,#7180ba,"rgb(113, 128, 186)",15296px,1025px
slash punk,100%,#e83753,"rgb(232, 55, 83)",10207px,174px
trap kreyol,100%,#ae8d00,"rgb(174, 141, 0)",6880px,1132px
nyahbinghi,100%,#888249,"rgb(136, 130, 73)",10320px,1127px
classical countertenor,100%,#28a016,"rgb(40, 160, 22)",21198px,426px
macedonian rock,100%,#b27a41,"rgb(178, 122, 65)",8439px,538px
danish electro,100%,#b4868d,"rgb(180, 134, 141)",1890px,761px
hakkapop,100%,#78920e,"rgb(120, 146, 14)",10415px,690px
tar,100%,#539f92,"rgb(83, 159, 146)",19515px,749px
terrorcore,100%,#e05b9c,"rgb(224, 91, 156)",1407px,816px
musica piauiense,100%,#8e920f,"rgb(142, 146, 15)",11498px,861px
experimental percussion,100%,#6d7b91,"rgb(109, 123, 145)",15025px,560px
paracana,100%,#759551,"rgb(117, 149, 81)",12414px,574px
canadian choir,100%,#1e9f64,"rgb(30, 159, 100)",21687px,163px
rap potiguar,100%,#968d09,"rgb(150, 141, 9)",9587px,1050px
himalayan folk,100%,#51a24d,"rgb(81, 162, 77)",16673px,548px
jazz tuba,100%,#4a969d,"rgb(74, 150, 157)",17018px,826px
vintage finnish jazz,100%,#4b970d,"rgb(75, 151, 13)",18969px,671px
alaska hip hop,100%,#96920e,"rgb(150, 146, 14)",7836px,1046px
swedish contemporary classical,100%,#219d7e,"rgb(33, 157, 126)",20589px,232px
italian progressive metal,100%,#c76d39,"rgb(199, 109, 57)",7036px,252px
men's choir,100%,#37842d,"rgb(55, 132, 45)",21328px,177px
ringtone,100%,#6c7752,"rgb(108, 119, 82)",9379px,831px
kosovan indie,100%,#8f882c,"rgb(143, 136, 44)",10966px,538px
euro hi-nrg,100%,#dc7639,"rgb(220, 118, 57)",1047px,912px
rap gasy,100%,#a48d0d,"rgb(164, 141, 13)",7762px,1139px
thrash-groove metal,100%,#e54e2e,"rgb(229, 78, 46)",4965px,275px
muzica maramureseana,100%,#739e16,"rgb(115, 158, 22)",15522px,739px
american early music,100%,#1da431,"rgb(29, 164, 49)",21039px,307px
dombra,100%,#69948b,"rgb(105, 148, 139)",16329px,993px
izvorna muzika,100%,#bb7a06,"rgb(187, 122, 6)",13974px,839px
appalachian black metal,100%,#bb52a2,"rgb(187, 82, 162)",11113px,76px
lagu betawi,100%,#9c8d13,"rgb(156, 141, 19)",10280px,869px
irish ballad,100%,#38a10c,"rgb(56, 161, 12)",20654px,487px
macau pop,100%,#918d0f,"rgb(145, 141, 15)",8845px,557px
classical trombone,100%,#2c9dbb,"rgb(44, 157, 187)",20433px,442px
kikuyu pop,100%,#b18209,"rgb(177, 130, 9)",10881px,1177px
musica blumenauense,100%,#9a8b21,"rgb(154, 139, 33)",10611px,637px
kentucky mountain folk,100%,#4f9a37,"rgb(79, 154, 55)",19773px,902px
musica ecuatoguineana,100%,#a88905,"rgb(168, 137, 5)",11572px,1010px
tanzorchester,100%,#708a5f,"rgb(112, 138, 95)",13839px,877px
christian symphonic metal,100%,#bb6b44,"rgb(187, 107, 68)",7848px,177px
duhovne pjesme,100%,#849306,"rgb(132, 147, 6)",11772px,474px
alandsk musik,100%,#838737,"rgb(131, 135, 55)",12551px,502px
lok dohori,100%,#a88b04,"rgb(168, 139, 4)",11672px,687px
swiss experimental,100%,#7f7a94,"rgb(127, 122, 148)",12303px,816px
salon music,100%,#3ba380,"rgb(59, 163, 128)",18694px,453px
musique ancienne,100%,#27a880,"rgb(39, 168, 128)",19974px,217px
marinera,100%,#998332,"rgb(153, 131, 50)",12937px,991px
deep active rock,100%,#d96615,"rgb(217, 102, 21)",3456px,236px
pipa,100%,#39a5af,"rgb(57, 165, 175)",19945px,846px
colombian black metal,100%,#d84082,"rgb(216, 64, 130)",10978px,101px
deep surf music,100%,#b477aa,"rgb(180, 119, 170)",11596px,455px
cape breton indie,100%,#8f9009,"rgb(143, 144, 9)",10282px,567px
thai worship,100%,#7a9944,"rgb(122, 153, 68)",6797px,752px
chinese punk,100%,#d3601c,"rgb(211, 96, 28)",6684px,418px
russian thrash metal,100%,#e4522d,"rgb(228, 82, 45)",5001px,315px
kolo,100%,#aa8586,"rgb(170, 133, 134)",11722px,833px
otroske pesmice,100%,#709610,"rgb(112, 150, 16)",13962px,826px
french experimental rock,100%,#9b7d69,"rgb(155, 125, 105)",11920px,483px
indonesian bamboo,100%,#7f9884,"rgb(127, 152, 132)",13901px,811px
musica mato-grossense,100%,#8f8630,"rgb(143, 134, 48)",13114px,625px
post-punk colombiano,100%,#be7a60,"rgb(190, 122, 96)",3628px,518px
deep pop emo,100%,#d16411,"rgb(209, 100, 17)",5403px,307px
lai hla,100%,#8e9507,"rgb(142, 149, 7)",9574px,595px
cantonese opera,100%,#5e9f08,"rgb(94, 159, 8)",15895px,555px
rhythm rock,100%,#b96539,"rgb(185, 101, 57)",14554px,732px
tulum,100%,#a57d44,"rgb(165, 125, 68)",13727px,405px
iranian experimental,100%,#6588b0,"rgb(101, 136, 176)",15526px,271px
indie queretano,100%,#ad7f3a,"rgb(173, 127, 58)",6748px,550px
irish experimental electronic,100%,#9d86b4,"rgb(157, 134, 180)",5367px,791px
punk ecuatoriano,100%,#d75c2c,"rgb(215, 92, 44)",10021px,432px
spanish death metal,100%,#e3478d,"rgb(227, 71, 141)",8464px,194px
kapa haka,100%,#448606,"rgb(68, 134, 6)",19400px,442px
musica colimense,100%,#948a04,"rgb(148, 138, 4)",13391px,1006px
korean punk,100%,#dc591e,"rgb(220, 89, 30)",6874px,328px
dhrupad,100%,#578f4e,"rgb(87, 143, 78)",18682px,474px
orquesta cubana,100%,#987a51,"rgb(152, 122, 81)",15554px,942px
vintage country folk,100%,#51912c,"rgb(81, 145, 44)",20490px,977px
autoharp,100%,#709628,"rgb(112, 150, 40)",15076px,704px
indonesian thrash metal,100%,#d85b30,"rgb(216, 91, 48)",5823px,432px
edinburgh metal,100%,#d5576d,"rgb(213, 87, 109)",9129px,179px
unblack metal,100%,#d5487d,"rgb(213, 72, 125)",8205px,125px
delaware indie,100%,#be6e2d,"rgb(190, 110, 45)",8403px,375px
sardinia indie,100%,#ad7b4d,"rgb(173, 123, 77)",7544px,465px
belgian hardcore,100%,#dd534c,"rgb(221, 83, 76)",10695px,271px
canadian stoner rock,100%,#cf655e,"rgb(207, 101, 94)",10341px,177px
italian modern prog,100%,#818f54,"rgb(129, 143, 84)",11547px,260px
synthetic classical,100%,#599fa9,"rgb(89, 159, 169)",13936px,432px
frafra,100%,#b68417,"rgb(182, 132, 23)",9949px,1141px
bikutsi,100%,#d07a0f,"rgb(208, 122, 15)",8661px,1006px
zither,100%,#5aa0a8,"rgb(90, 160, 168)",19141px,975px
dutch contemporary classical,100%,#2b979c,"rgb(43, 151, 156)",20339px,391px
charred death,100%,#e1446e,"rgb(225, 68, 110)",6972px,125px
haitian traditional,100%,#718b5b,"rgb(113, 139, 91)",16989px,964px
korean experimental,100%,#7e8698,"rgb(126, 134, 152)",12278px,442px
botswana traditional,100%,#928c0f,"rgb(146, 140, 15)",8751px,946px
spanish stoner rock,100%,#be7552,"rgb(190, 117, 82)",7665px,264px
italian baroque ensemble,100%,#22a731,"rgb(34, 167, 49)",20375px,361px
middle eastern traditional,100%,#65966e,"rgb(101, 150, 110)",18654px,742px
muzica banateana,100%,#958f1d,"rgb(149, 143, 29)",13925px,894px
classical mezzo-soprano,100%,#2c9d13,"rgb(44, 157, 19)",21357px,399px
piada,100%,#877205,"rgb(135, 114, 5)",18941px,1296px
rock in opposition,100%,#808169,"rgb(128, 129, 105)",14121px,487px
assamese hip hop,100%,#91990f,"rgb(145, 153, 15)",8011px,977px
cerkes muzikleri,100%,#bb8a1f,"rgb(187, 138, 31)",6259px,761px
musica rondoniense,100%,#998b1b,"rgb(153, 139, 27)",7172px,687px
theremin,100%,#599a90,"rgb(89, 154, 144)",15841px,389px
metalcore espanol,100%,#e25733,"rgb(226, 87, 51)",5662px,251px
deep space rock,100%,#a67482,"rgb(166, 116, 130)",10353px,317px
caucasian folk,100%,#469d3a,"rgb(70, 157, 58)",19670px,319px
metal salvadoreno,100%,#d05e34,"rgb(208, 94, 52)",10966px,389px
rabm,100%,#c942a6,"rgb(201, 66, 166)",9219px,52px
italian blues,100%,#8f893c,"rgb(143, 137, 60)",12402px,742px
instrumental black metal,100%,#9c67c6,"rgb(156, 103, 198)",9352px,27px
rock catarinense,100%,#c07429,"rgb(192, 116, 41)",6499px,379px
beat poetry,100%,#487c17,"rgb(72, 124, 23)",18625px,1006px
rock pernambucano,100%,#c16e21,"rgb(193, 110, 33)",8586px,424px
rap paraense,100%,#939105,"rgb(147, 145, 5)",10601px,1085px
lithuanian metal,100%,#d85161,"rgb(216, 81, 97)",7048px,154px
rakugo,100%,#4e631e,"rgb(78, 99, 30)",18883px,1227px
borneo traditional,100%,#6d9e8f,"rgb(109, 158, 143)",13619px,863px
musica rapa nui,100%,#819536,"rgb(129, 149, 54)",12104px,798px
serbian metal,100%,#da563f,"rgb(218, 86, 63)",7539px,201px
skiffle,100%,#987d08,"rgb(152, 125, 8)",14548px,906px
pontianak indie,100%,#998c15,"rgb(153, 140, 21)",9104px,491px
musica acoriana,100%,#86962a,"rgb(134, 150, 42)",9736px,796px
albanian folk,100%,#798d2b,"rgb(121, 141, 43)",16846px,432px
german contemporary classical,100%,#1e9166,"rgb(30, 145, 102)",20666px,357px
vintage radio show,100%,#437006,"rgb(67, 112, 6)",16473px,1367px
swedish choir,100%,#219d3c,"rgb(33, 157, 60)",21794px,124px
kinnauri pop,100%,#c98011,"rgb(201, 128, 17)",3284px,846px
ceilidh,100%,#8e925c,"rgb(142, 146, 92)",12948px,719px
mapouka,100%,#bb7d14,"rgb(187, 125, 20)",3544px,1170px
classic nz country,100%,#5d9629,"rgb(93, 150, 41)",15236px,761px
brazilian heavy metal,100%,#e35537,"rgb(227, 85, 55)",5440px,212px
vintage classical singing,100%,#31a31e,"rgb(49, 163, 30)",22183px,373px
russian modern jazz,100%,#6591a2,"rgb(101, 145, 162)",16042px,587px
italian soprano,100%,#329e1e,"rgb(50, 158, 30)",21676px,332px
